county,year_short,candidate_votes,party,state,county_fips
ABBEVILLE,2000,4450,REPUBLICAN,SOUTH CAROLINA,45001
ABBEVILLE,2004,5436,REPUBLICAN,SOUTH CAROLINA,45001
ABBEVILLE,2008,6264,REPUBLICAN,SOUTH CAROLINA,45001
ABBEVILLE,2012,5981,REPUBLICAN,SOUTH CAROLINA,45001
ABBEVILLE,2016,6763,REPUBLICAN,SOUTH CAROLINA,45001
ABBEVILLE,2020,4306,REPUBLICAN,SOUTH CAROLINA,45001
ACADIA,0002,13814,REPUBLICAN,LOUISIANA,22001
ACADIA,2004,16083,REPUBLICAN,LOUISIANA,22001
ACADIA,2008,19228,REPUBLICAN,LOUISIANA,22001
ACADIA,2012,19931,REPUBLICAN,LOUISIANA,22001
ACADIA,2016,21162,REPUBLICAN,LOUISIANA,22001
ACADIA,2020,22596,REPUBLICAN,LOUISIANA,22001
ACCOMACK,2000,6352,REPUBLICAN,VIRGINIA,51001
ACCOMACK,2004,7726,REPUBLICAN,VIRGINIA,51001
ACCOMACK,2008,7833,REPUBLICAN,VIRGINIA,51001
ACCOMACK,2012,8213,REPUBLICAN,VIRGINIA,51001
ACCOMACK,2016,8583,REPUBLICAN,VIRGINIA,51001
ACCOMACK,2020,6078,REPUBLICAN,VIRGINIA,51001
ADA,0002,75050,REPUBLICAN,IDAHO,16001
ADA,2004,94641,REPUBLICAN,IDAHO,16001
ADA,2008,93328,REPUBLICAN,IDAHO,16001
ADA,2012,97554,REPUBLICAN,IDAHO,16001
ADA,2016,93752,REPUBLICAN,IDAHO,16001
ADA,2020,130699,REPUBLICAN,IDAHO,16001
ADAIR,0002,6050,REPUBLICAN,MISSOURI,29001
ADAIR,2000,3503,REPUBLICAN,OKLAHOMA,40001
ADAIR,2004,6367,REPUBLICAN,MISSOURI,29001
ADAIR,2008,5891,REPUBLICAN,MISSOURI,29001
ADAIR,2012,5841,REPUBLICAN,KENTUCKY,21001
ADAIR,2016,6637,REPUBLICAN,KENTUCKY,21001
ADAIR,2020,7276,REPUBLICAN,KENTUCKY,21001
ADAMS,0002,54132,DEMOCRAT,COLORADO,08001
ADAMS,2000,20848,REPUBLICAN,PENNSYLVANIA,42001
ADAMS,2004,69122,DEMOCRAT,COLORADO,08001
ADAMS,2008,93443,DEMOCRAT,COLORADO,08001
ADAMS,2012,100649,DEMOCRAT,COLORADO,08001
ADAMS,2016,96558,DEMOCRAT,COLORADO,08001
ADAMS,2020,134202,DEMOCRAT,COLORADO,08001
ADDISON,2000,8936,DEMOCRAT,VERMONT,50001
ADDISON,2004,11147,DEMOCRAT,VERMONT,50001
ADDISON,2008,13202,DEMOCRAT,VERMONT,50001
ADDISON,2012,12257,DEMOCRAT,VERMONT,50001
ADDISON,2016,11219,DEMOCRAT,VERMONT,50001
ADDISON,2020,15089,DEMOCRAT,VERMONT,50001
AIKEN,2000,33203,REPUBLICAN,SOUTH CAROLINA,45003
AIKEN,2004,39077,REPUBLICAN,SOUTH CAROLINA,45003
AIKEN,2008,42849,REPUBLICAN,SOUTH CAROLINA,45003
AIKEN,2012,44042,REPUBLICAN,SOUTH CAROLINA,45003
AIKEN,2016,46025,REPUBLICAN,SOUTH CAROLINA,45003
AIKEN,2020,27763,REPUBLICAN,SOUTH CAROLINA,45003
AITKIN,0002,3830,DEMOCRAT,MINNESOTA,27001
AITKIN,2004,4768,REPUBLICAN,MINNESOTA,27001
AITKIN,2008,4595,DEMOCRAT,MINNESOTA,27001
AITKIN,2012,4533,REPUBLICAN,MINNESOTA,27001
AITKIN,2016,5516,REPUBLICAN,MINNESOTA,27001
AITKIN,2020,6258,REPUBLICAN,MINNESOTA,27001
ALACHUA,0002,47365,DEMOCRAT,FLORIDA,12001
ALACHUA,2004,62504,DEMOCRAT,FLORIDA,12001
ALACHUA,2008,75565,DEMOCRAT,FLORIDA,12001
