Year;Month;GID_0;Country;GID_1;Region;Cropland_BA_hectares;Forest_BA_hectares;Grass_and_Shrubland_BA_hectares;Wetlands_BA_hectares;Settlement_BA_hectares;Other_BA_hectares;combined_BA
2002;1;USA;United States;USA.1_1;Alabama;107;193;21;0;0;0;321
2002;1;USA;United States;USA.2_1;Alaska;0;0;0;0;0;0;0
2002;1;USA;United States;USA.3_1;Arizona;236;86;21;0;0;0;343
2002;1;USA;United States;USA.4_1;Arkansas;0;0;0;0;0;0;0
2002;1;USA;United States;USA.5_1;California;558;236;21;0;0;86;901
2002;1;USA;United States;USA.6_1;Colorado;0;0;0;0;0;0;0
2002;1;USA;United States;USA.7_1;Connecticut;0;0;0;0;0;0;0
2002;1;USA;United States;USA.8_1;Delaware;0;0;0;0;0;0;0
2002;1;USA;United States;USA.9_1;District of Columbia;0;0;0;0;0;0;0
2002;1;USA;United States;USA.10_1;Florida;43619;6032;6461;1567;43;64;57786
2002;1;USA;United States;USA.11_1;Georgia;644;987;86;0;0;0;1717
2002;1;USA;United States;USA.12_1;Hawaii;0;0;0;0;0;0;0
2002;1;USA;United States;USA.13_1;Idaho;0;0;0;0;0;0;0
2002;1;USA;United States;USA.14_1;Illinois;0;0;0;0;0;0;0
2002;1;USA;United States;USA.15_1;Indiana;0;0;0;0;0;0;0
2002;1;USA;United States;USA.16_1;Iowa;0;0;0;0;0;0;0
2002;1;USA;United States;USA.17_1;Kansas;0;0;0;0;0;0;0
2002;1;USA;United States;USA.18_1;Kentucky;0;0;0;0;0;0;0
2002;1;USA;United States;USA.19_1;Louisiana;537;86;0;601;0;0;1224
2002;1;USA;United States;USA.20_1;Maine;0;0;0;0;0;0;0
2002;1;USA;United States;USA.21_1;Maryland;0;0;0;0;0;0;0
2002;1;USA;United States;USA.22_1;Massachusetts;0;0;0;0;0;0;0
2002;1;USA;United States;USA.23_1;Michigan;0;0;0;0;0;0;0
2002;1;USA;United States;USA.24_1;Minnesota;0;0;0;0;0;0;0
2002;1;USA;United States;USA.25_1;Mississippi;21;322;64;21;0;0;428
2002;1;USA;United States;USA.26_1;Missouri;0;0;0;0;0;0;0
