State;Hectares;Year;Month;GID_0;Country;GID_1;Cropland_BA_hectares;Forest_BA_hectares;Grass_and_Shrubland_BA_hectares;Wetlands_BA_hectares;Settlement_BA_hectares;Other_BA_hectares;combined_BA;burned_area_state_index;Burned_Cropland_index;Burned_Forest_index;Burned_Grass_and_Shrubland_index;Burned_Wetlands_index;Burned_Settlement_index;Burned_Other_index
Alabama;13576700;2002;1;USA;United States;USA.1_1;107;193;21;0;0;0;321;0;0;0;0;0;0;0
Alabama;13576700;2002;2;USA;United States;USA.1_1;43;2426;43;21;0;0;2533;0;0;0;0;0;0;0
Alabama;13576700;2002;3;USA;United States;USA.1_1;43;3177;0;21;0;0;3241;0;0;0;0;0;0;0
Alabama;13576700;2002;4;USA;United States;USA.1_1;494;0;0;0;0;0;494;0;0;0;0;0;0;0
Alabama;13576700;2002;5;USA;United States;USA.1_1;64;322;21;0;0;0;407;0;0;0;0;0;0;0
Alabama;13576700;2002;6;USA;United States;USA.1_1;0;21;0;0;0;0;21;0;0;0;0;0;0;0
Alabama;13576700;2002;7;USA;United States;USA.1_1;86;43;21;0;0;0;150;0;0;0;0;0;0;0
Alabama;13576700;2002;8;USA;United States;USA.1_1;86;1009;107;0;0;0;1202;0;0;0;0;0;0;0
Alabama;13576700;2002;9;USA;United States;USA.1_1;215;43;64;0;0;0;322;0;0;0;0;0;0;0
Alabama;13576700;2002;10;USA;United States;USA.1_1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Alabama;13576700;2002;11;USA;United States;USA.1_1;494;322;86;21;0;0;923;0;0;0;0;0;0;0
Alabama;13576700;2002;12;USA;United States;USA.1_1;0;1095;0;64;0;0;1159;0;0;0;0;0;0;0
Alabama;13576700;2003;1;USA;United States;USA.1_1;687;1610;107;43;0;0;2447;0;0;0;0;0;0;0
Alabama;13576700;2003;2;USA;United States;USA.1_1;0;4272;129;0;0;0;4401;0;0;0;0;0;0;0
Alabama;13576700;2003;3;USA;United States;USA.1_1;0;1116;193;0;0;0;1309;0;0;0;0;0;0;0
Alabama;13576700;2003;4;USA;United States;USA.1_1;43;0;0;0;0;0;43;0;0;0;0;0;0;0
Alabama;13576700;2003;5;USA;United States;USA.1_1;215;944;86;0;64;0;1309;0;0;0;0;0;0;0
Alabama;13576700;2003;6;USA;United States;USA.1_1;0;215;0;0;0;0;215;0;0;0;0;0;0;0
Alabama;13576700;2003;7;USA;United States;USA.1_1;21;0;0;0;0;0;21;0;0;0;0;0;0;0
Alabama;13576700;2003;8;USA;United States;USA.1_1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Alabama;13576700;2003;9;USA;United States;USA.1_1;408;129;129;0;0;0;666;0;0;0;0;0;0;0
Alabama;13576700;2003;10;USA;United States;USA.1_1;343;1567;215;0;0;0;2125;0;0;0;0;0;0;0
Alabama;13576700;2003;11;USA;United States;USA.1_1;0;2211;64;0;0;0;2275;0;0;0;0;0;0;0
Alabama;13576700;2003;12;USA;United States;USA.1_1;21;193;0;0;0;0;214;0;0;0;0;0;0;0
Alabama;13576700;2004;1;USA;United States;USA.1_1;43;773;236;0;0;0;1052;0;0;0;0;0;0;0
Alabama;13576700;2004;2;USA;United States;USA.1_1;0;4680;21;21;0;0;4722;0;0;0;0;0;0;0
Alabama;13576700;2004;3;USA;United States;USA.1_1;1825;24235;2533;43;0;0;28636;0;0;0;0;0;0;0
Alabama;13576700;2004;4;USA;United States;USA.1_1;21;236;21;0;0;0;278;0;0;0;0;0;0;0
Alabama;13576700;2004;5;USA;United States;USA.1_1;0;1181;0;86;0;0;1267;0;0;0;0;0;0;0
Alabama;13576700;2004;6;USA;United States;USA.1_1;0;21;0;0;0;0;21;0;0;0;0;0;0;0
Alabama;13576700;2004;7;USA;United States;USA.1_1;0;86;0;21;0;0;107;0;0;0;0;0;0;0
Alabama;13576700;2004;8;USA;United States;USA.1_1;21;150;43;0;0;0;214;0;0;0;0;0;0;0
Alabama;13576700;2004;9;USA;United States;USA.1_1;515;258;64;0;0;0;837;0;0;0;0;0;0;0
Alabama;13576700;2004;10;USA;United States;USA.1_1;687;3735;343;0;0;0;4765;0;0;0;0;0;0;0
Alabama;13576700;2004;11;USA;United States;USA.1_1;0;43;0;0;0;0;43;0;0;0;0;0;0;0
Alabama;13576700;2004;12;USA;United States;USA.1_1;86;258;0;0;0;0;344;0;0;0;0;0;0;0
Alabama;13576700;2005;1;USA;United States;USA.1_1;21;794;21;0;0;0;836;0;0;0;0;0;0;0
Alabama;13576700;2005;2;USA;United States;USA.1_1;0;5409;150;0;0;0;5559;0;0;0;0;0;0;0
Alabama;13576700;2005;3;USA;United States;USA.1_1;86;8093;258;0;0;0;8437;0;0;0;0;0;0;0
Alabama;13576700;2005;4;USA;United States;USA.1_1;107;129;64;0;0;0;300;0;0;0;0;0;0;0
Alabama;13576700;2005;5;USA;United States;USA.1_1;172;150;43;0;0;0;365;0;0;0;0;0;0;0
Alabama;13576700;2005;6;USA;United States;USA.1_1;0;43;0;21;0;0;64;0;0;0;0;0;0;0
Alabama;13576700;2005;7;USA;United States;USA.1_1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Alabama;13576700;2005;8;USA;United States;USA.1_1;21;21;0;0;0;0;42;0;0;0;0;0;0;0
Alabama;13576700;2005;9;USA;United States;USA.1_1;601;1309;43;21;0;0;1974;0;0;0;0;0;0;0
Alabama;13576700;2005;10;USA;United States;USA.1_1;880;150;21;0;0;21;1072;0;0;0;0;0;0;0
Alabama;13576700;2005;11;USA;United States;USA.1_1;64;5474;129;0;0;0;5667;0;0;0;0;0;0;0
Alabama;13576700;2005;12;USA;United States;USA.1_1;0;193;64;0;0;0;257;0;0;0;0;0;0;0
Alabama;13576700;2006;1;USA;United States;USA.1_1;0;1202;21;0;0;0;1223;0;0;0;0;0;0;0
