state,county,year_short,candidate_votes,party,county_fips,year
ALABAMA,AUTAUGA,2000,11993,REPUBLICAN,01001,1970-01-01 00:00:00.000002000
ALABAMA,AUTAUGA,2004,15196,REPUBLICAN,01001,1970-01-01 00:00:00.000002004
ALABAMA,AUTAUGA,2008,17403,REPUBLICAN,01001,1970-01-01 00:00:00.000002008
ALABAMA,AUTAUGA,2012,17379,REPUBLICAN,01001,1970-01-01 00:00:00.000002012
ALABAMA,AUTAUGA,2016,18172,REPUBLICAN,01001,1970-01-01 00:00:00.000002016
ALABAMA,AUTAUGA,2020,19838,REPUBLICAN,01001,1970-01-01 00:00:00.000002020
ALABAMA,BALDWIN,2000,40872,REPUBLICAN,01003,1970-01-01 00:00:00.000002000
ALABAMA,BALDWIN,2004,52971,REPUBLICAN,01003,1970-01-01 00:00:00.000002004
ALABAMA,BALDWIN,2008,61271,REPUBLICAN,01003,1970-01-01 00:00:00.000002008
ALABAMA,BALDWIN,2012,66016,REPUBLICAN,01003,1970-01-01 00:00:00.000002012
ALABAMA,BALDWIN,2016,72883,REPUBLICAN,01003,1970-01-01 00:00:00.000002016
ALABAMA,BALDWIN,2020,83544,REPUBLICAN,01003,1970-01-01 00:00:00.000002020
ALABAMA,BARBOUR,2000,5188,DEMOCRAT,01005,1970-01-01 00:00:00.000002000
ALABAMA,BARBOUR,2004,5899,REPUBLICAN,01005,1970-01-01 00:00:00.000002004
ALABAMA,BARBOUR,2008,5866,REPUBLICAN,01005,1970-01-01 00:00:00.000002008
ALABAMA,BARBOUR,2012,5912,DEMOCRAT,01005,1970-01-01 00:00:00.000002012
ALABAMA,BARBOUR,2016,5454,REPUBLICAN,01005,1970-01-01 00:00:00.000002016
ALABAMA,BARBOUR,2020,5622,REPUBLICAN,01005,1970-01-01 00:00:00.000002020
ALABAMA,BIBB,2000,4273,REPUBLICAN,01007,1970-01-01 00:00:00.000002000
ALABAMA,BIBB,2004,5472,REPUBLICAN,01007,1970-01-01 00:00:00.000002004
ALABAMA,BIBB,2008,6262,REPUBLICAN,01007,1970-01-01 00:00:00.000002008
ALABAMA,BIBB,2012,6132,REPUBLICAN,01007,1970-01-01 00:00:00.000002012
ALABAMA,BIBB,2016,6738,REPUBLICAN,01007,1970-01-01 00:00:00.000002016
ALABAMA,BIBB,2020,7525,REPUBLICAN,01007,1970-01-01 00:00:00.000002020
ALABAMA,BLOUNT,2000,12667,REPUBLICAN,01009,1970-01-01 00:00:00.000002000
ALABAMA,BLOUNT,2004,17386,REPUBLICAN,01009,1970-01-01 00:00:00.000002004
ALABAMA,BLOUNT,2008,20389,REPUBLICAN,01009,1970-01-01 00:00:00.000002008
ALABAMA,BLOUNT,2012,20757,REPUBLICAN,01009,1970-01-01 00:00:00.000002012
ALABAMA,BLOUNT,2016,22859,REPUBLICAN,01009,1970-01-01 00:00:00.000002016
ALABAMA,BLOUNT,2020,24711,REPUBLICAN,01009,1970-01-01 00:00:00.000002020
ALABAMA,BULLOCK,2000,3395,DEMOCRAT,01011,1970-01-01 00:00:00.000002000
ALABAMA,BULLOCK,2004,3210,DEMOCRAT,01011,1970-01-01 00:00:00.000002004
ALABAMA,BULLOCK,2008,4011,DEMOCRAT,01011,1970-01-01 00:00:00.000002008
ALABAMA,BULLOCK,2012,4061,DEMOCRAT,01011,1970-01-01 00:00:00.000002012
ALABAMA,BULLOCK,2016,3530,DEMOCRAT,01011,1970-01-01 00:00:00.000002016
ALABAMA,BULLOCK,2020,3446,DEMOCRAT,01011,1970-01-01 00:00:00.000002020
ALABAMA,BUTLER,2000,4127,REPUBLICAN,01013,1970-01-01 00:00:00.000002000
ALABAMA,BUTLER,2004,4979,REPUBLICAN,01013,1970-01-01 00:00:00.000002004
ALABAMA,BUTLER,2008,5485,REPUBLICAN,01013,1970-01-01 00:00:00.000002008
ALABAMA,BUTLER,2012,5087,REPUBLICAN,01013,1970-01-01 00:00:00.000002012
ALABAMA,BUTLER,2016,4901,REPUBLICAN,01013,1970-01-01 00:00:00.000002016
ALABAMA,BUTLER,2020,5458,REPUBLICAN,01013,1970-01-01 00:00:00.000002020
ALABAMA,CALHOUN,2000,22306,REPUBLICAN,01015,1970-01-01 00:00:00.000002000
ALABAMA,CALHOUN,2004,29814,REPUBLICAN,01015,1970-01-01 00:00:00.000002004
ALABAMA,CALHOUN,2008,32348,REPUBLICAN,01015,1970-01-01 00:00:00.000002008
ALABAMA,CALHOUN,2012,30278,REPUBLICAN,01015,1970-01-01 00:00:00.000002012
ALABAMA,CALHOUN,2016,32865,REPUBLICAN,01015,1970-01-01 00:00:00.000002016
ALABAMA,CALHOUN,2020,35101,REPUBLICAN,01015,1970-01-01 00:00:00.000002020
ALABAMA,CHAMBERS,2000,6037,REPUBLICAN,01017,1970-01-01 00:00:00.000002000
ALABAMA,CHAMBERS,2004,7622,REPUBLICAN,01017,1970-01-01 00:00:00.000002004
ALABAMA,CHAMBERS,2008,8067,REPUBLICAN,01017,1970-01-01 00:00:00.000002008
ALABAMA,CHAMBERS,2012,7626,REPUBLICAN,01017,1970-01-01 00:00:00.000002012
ALABAMA,CHAMBERS,2016,7843,REPUBLICAN,01017,1970-01-01 00:00:00.000002016
ALABAMA,CHAMBERS,2020,8753,REPUBLICAN,01017,1970-01-01 00:00:00.000002020
ALABAMA,CHEROKEE,2000,4154,REPUBLICAN,01019,1970-01-01 00:00:00.000002000
ALABAMA,CHEROKEE,2004,5923,REPUBLICAN,01019,1970-01-01 00:00:00.000002004
ALABAMA,CHEROKEE,2008,7298,REPUBLICAN,01019,1970-01-01 00:00:00.000002008
ALABAMA,CHEROKEE,2012,7506,REPUBLICAN,01019,1970-01-01 00:00:00.000002012
ALABAMA,CHEROKEE,2016,8953,REPUBLICAN,01019,1970-01-01 00:00:00.000002016
ALABAMA,CHEROKEE,2020,10583,REPUBLICAN,01019,1970-01-01 00:00:00.000002020
ALABAMA,CHILTON,2000,10066,REPUBLICAN,01021,1970-01-01 00:00:00.000002000
ALABAMA,CHILTON,2004,12829,REPUBLICAN,01021,1970-01-01 00:00:00.000002004
ALABAMA,CHILTON,2008,13960,REPUBLICAN,01021,1970-01-01 00:00:00.000002008
ALABAMA,CHILTON,2012,13932,REPUBLICAN,01021,1970-01-01 00:00:00.000002012
ALABAMA,CHILTON,2016,15081,REPUBLICAN,01021,1970-01-01 00:00:00.000002016
ALABAMA,CHILTON,2020,16085,REPUBLICAN,01021,1970-01-01 00:00:00.000002020
ALABAMA,CHOCTAW,2000,3707,DEMOCRAT,01023,1970-01-01 00:00:00.000002000
ALABAMA,CHOCTAW,2004,3897,REPUBLICAN,01023,1970-01-01 00:00:00.000002004
ALABAMA,CHOCTAW,2008,4223,REPUBLICAN,01023,1970-01-01 00:00:00.000002008
ALABAMA,CHOCTAW,2012,4152,REPUBLICAN,01023,1970-01-01 00:00:00.000002012
ALABAMA,CHOCTAW,2016,4106,REPUBLICAN,01023,1970-01-01 00:00:00.000002016
ALABAMA,CHOCTAW,2020,4296,REPUBLICAN,01023,1970-01-01 00:00:00.000002020
ALABAMA,CLARKE,2000,5988,REPUBLICAN,01025,1970-01-01 00:00:00.000002000
ALABAMA,CLARKE,2004,6730,REPUBLICAN,01025,1970-01-01 00:00:00.000002004
ALABAMA,CLARKE,2008,7466,REPUBLICAN,01025,1970-01-01 00:00:00.000002008
ALABAMA,CLARKE,2012,7470,REPUBLICAN,01025,1970-01-01 00:00:00.000002012
ALABAMA,CLARKE,2016,7140,REPUBLICAN,01025,1970-01-01 00:00:00.000002016
ALABAMA,CLARKE,2020,7324,REPUBLICAN,01025,1970-01-01 00:00:00.000002020
